,year,eps_value,ticker
8,2013,$1.60,ARE
9,2012,$1.09,ARE
10,2011,$1.73,ARE
11,2010,$2.19,ARE
12,2009,$2.72,ARE
0,2021,$9.69,ALGN
1,2020,$22.41,ALGN
2,2019,$5.53,ALGN
3,2018,$4.92,ALGN
4,2017,$2.83,ALGN
5,2016,$2.33,ALGN
6,2015,$1.77,ALGN
7,2014,$1.77,ALGN
8,2013,$0.78,ALGN
9,2012,$0.71,ALGN
10,2011,$0.83,ALGN
11,2010,$0.95,ALGN
12,2009,$-0.45,ALGN
0,2021,$5.34,ALLE
1,2020,$3.39,ALLE
2,2019,$4.26,ALLE
3,2018,$4.54,ALLE
4,2017,$2.85,ALLE
5,2016,$2.36,ALLE
6,2015,$1.59,ALLE
7,2014,$1.80,ALLE
8,2013,$0.34,ALLE
9,2012,$2.29,ALLE
10,2011,$2.27,ALLE
11,2010,$0.00,ALLE
0,2021,$2.63,LNT
1,2020,$2.47,LNT
2,2019,$2.33,LNT
3,2018,$2.19,LNT
4,2017,$1.99,LNT
5,2016,$1.64,LNT
6,2015,$1.68,LNT
7,2014,$1.73,LNT
8,2013,$1.62,LNT
9,2012,$1.45,LNT
10,2011,$1.37,LNT
11,2010,$1.30,LNT
12,2009,$0.51,LNT
0,2021,$4.96,ALL
1,2020,$17.31,ALL
2,2019,$14.03,ALL
3,2018,$5.70,ALL
4,2017,$9.35,ALL
5,2016,$4.67,ALL
6,2015,$5.05,ALL
7,2014,$6.27,ALL
8,2013,$4.81,ALL
9,2012,$4.68,ALL
10,2011,$1.50,ALL
11,2010,$1.68,ALL
12,2009,$1.58,ALL
0,2021,$5.61,GOOGL
1,2020,$2.93,GOOGL
2,2019,$2.46,GOOGL
3,2018,$2.19,GOOGL
4,2017,$0.90,GOOGL
5,2016,$1.39,GOOGL
6,2015,$1.14,GOOGL
7,2014,$1.03,GOOGL
8,2013,$0.94,GOOGL
9,2012,$0.81,GOOGL
10,2011,$0.74,GOOGL
11,2010,$0.66,GOOGL
12,2009,$0.51,GOOGL
0,2021,$5.61,GOOG
1,2020,$2.93,GOOG
2,2019,$2.46,GOOG
3,2018,$2.19,GOOG
4,2017,$0.90,GOOG
5,2016,$1.39,GOOG
6,2015,$1.14,GOOG
7,2014,$1.03,GOOG
8,2013,$0.94,GOOG
9,2012,$0.81,GOOG
10,2011,$0.74,GOOG
11,2010,$0.66,GOOG
12,2009,$0.51,GOOG
0,2021,$1.34,MO
1,2020,$2.40,MO
2,2019,$-0.70,MO
3,2018,$3.68,MO
4,2017,$5.31,MO
5,2016,$7.28,MO
6,2015,$2.67,MO
7,2014,$2.56,MO
8,2013,$2.26,MO
9,2012,$2.06,MO
10,2011,$1.64,MO
11,2010,$1.87,MO
12,2009,$1.54,MO
0,2021,$3.24,AMZN
1,2020,$2.09,AMZN
2,2019,$1.15,AMZN
3,2018,$1.01,AMZN
4,2017,$0.31,AMZN
5,2016,$0.25,AMZN
6,2015,$0.06,AMZN
7,2014,$-0.03,AMZN
8,2013,$0.03,AMZN
9,2012,$-0.01,AMZN
10,2011,$0.07,AMZN
11,2010,$0.13,AMZN
12,2009,$0.10,AMZN
0,2022,$0.53,AMCR
1,2021,$0.60,AMCR
2,2020,$0.38,AMCR
3,2019,$0.36,AMCR
4,2018,$0.48,AMCR
5,2018,$0.49,AMCR
6,2017,$0.20,AMCR
7,2017,$0.48,AMCR
8,2016,$0.49,AMCR
9,2015,$0.48,AMCR
10,2014,$0.37,AMCR
11,2013,$0.40,AMCR
12,2012,$0.33,AMCR
13,2011,$0.34,AMCR
14,2010,$0.36,AMCR
15,2009,$0.27,AMCR
0,2021,$2.57,AMD
1,2020,$2.06,AMD
2,2019,$0.30,AMD
3,2018,$0.32,AMD
4,2017,$-0.03,AMD
5,2016,$-0.60,AMD
6,2015,$-0.84,AMD
7,2014,$-0.53,AMD
8,2013,$-0.11,AMD
9,2012,$-1.60,AMD
10,2011,$0.66,AMD
11,2010,$0.64,AMD
12,2009,$0.45,AMD
0,2021,$3.84,AEE
1,2020,$3.50,AEE
2,2019,$3.35,AEE
3,2018,$3.32,AEE
4,2017,$2.14,AEE
5,2016,$2.68,AEE
6,2015,$2.59,AEE
7,2014,$2.40,AEE
8,2013,$1.18,AEE
9,2012,$-4.01,AEE
10,2011,$2.15,AEE
11,2010,$0.58,AEE
12,2009,$2.78,AEE
0,2021,$4.96,AEP
1,2020,$4.42,AEP
2,2019,$3.88,AEP
3,2018,$3.90,AEP
4,2017,$3.88,AEP
5,2016,$1.24,AEP
6,2015,$4.17,AEP
7,2014,$3.34,AEP
8,2013,$3.04,AEP
9,2012,$2.60,AEP
10,2011,$4.02,AEP
11,2010,$2.53,AEP
12,2009,$2.96,AEP
0,2021,$10.02,AXP
1,2020,$3.77,AXP
2,2019,$7.99,AXP
3,2018,$7.91,AXP
4,2017,$2.99,AXP
5,2016,$5.61,AXP
6,2015,$5.05,AXP
7,2014,$5.56,AXP
8,2013,$4.88,AXP
9,2012,$3.89,AXP
10,2011,$4.12,AXP
11,2010,$3.35,AXP
12,2009,$1.54,AXP
0,2021,$10.82,AIG
1,2020,$-6.88,AIG
2,2019,$3.74,AIG
3,2018,$-0.01,AIG
4,2017,$-6.54,AIG
5,2016,$-0.78,AIG
6,2015,$1.65,AIG
7,2014,$5.20,AIG
8,2013,$6.13,AIG
9,2012,$2.04,AIG
10,2011,$11.01,AIG
11,2010,$14.98,AIG
12,2009,$-90.48,AIG
0,2021,$5.66,AMT
1,2020,$3.79,AMT
2,2019,$4.24,AMT
3,2018,$2.77,AMT
4,2017,$2.67,AMT
5,2016,$1.98,AMT
6,2015,$1.41,AMT
7,2014,$2.00,AMT
8,2013,$1.38,AMT
9,2012,$1.60,AMT
10,2011,$0.99,AMT
11,2010,$0.92,AMT
12,2009,$0.61,AMT
0,2021,$6.95,AWK
1,2020,$3.91,AWK
2,2019,$3.43,AWK
3,2018,$3.15,AWK
4,2017,$2.38,AWK
5,2016,$2.62,AWK
6,2015,$2.64,AWK
7,2014,$2.35,AWK
8,2013,$2.06,AWK
9,2012,$2.01,AWK
10,2011,$1.75,AWK
11,2010,$1.53,AWK
12,2009,$-1.39,AWK
0,2021,$23.00,AMP
1,2020,$12.20,AMP
2,2019,$13.92,AMP
3,2018,$14.20,AMP
4,2017,$9.44,AMP
5,2016,$7.81,AMP
6,2015,$8.48,AMP
7,2014,$8.30,AMP
8,2013,$6.44,AMP
9,2012,$4.62,AMP
10,2011,$4.53,AMP
11,2010,$3.77,AMP
12,2009,$2.95,AMP
0,2022,$8.04,ABC
1,2021,$7.39,ABC
2,2020,$-16.65,ABC
3,2019,$4.04,ABC
4,2018,$7.53,ABC
5,2017,$1.64,ABC
6,2016,$6.32,ABC
7,2015,$-0.63,ABC
8,2014,$1.16,ABC
9,2013,$1.84,ABC
10,2012,$2.80,ABC
11,2011,$2.54,ABC
12,2010,$2.22,ABC
13,2009,$1.66,ABC
0,2021,$4.25,AME
1,2020,$3.77,AME
2,2019,$3.75,AME
3,2018,$3.34,AME
4,2017,$2.94,AME
5,2016,$2.19,AME
6,2015,$2.45,AME
7,2014,$2.37,AME
8,2013,$2.10,AME
9,2012,$1.88,AME
10,2011,$1.58,AME
11,2010,$1.18,AME
12,2009,$0.85,AME
0,2021,$10.28,AMGN
1,2020,$12.31,AMGN
2,2019,$12.88,AMGN
3,2018,$12.62,AMGN
4,2017,$2.69,AMGN
5,2016,$10.24,AMGN
6,2015,$9.06,AMGN
7,2014,$6.70,AMGN
8,2013,$6.64,AMGN
9,2012,$5.52,AMGN
10,2011,$4.04,AMGN
11,2010,$4.79,AMGN
12,2009,$4.51,AMGN
0,2021,$2.54,APH
1,2020,$1.96,APH
2,2019,$1.88,APH
3,2018,$1.93,APH
4,2017,$1.03,APH
5,2016,$1.31,APH
6,2015,$1.21,APH
7,2014,$1.11,APH
8,2013,$0.98,APH
9,2012,$0.85,APH
10,2011,$0.76,APH
11,2010,$0.71,APH
12,2009,$0.46,APH
0,2022,$5.25,ADI
1,2021,$3.46,ADI
2,2020,$3.28,ADI
3,2019,$3.65,ADI
4,2018,$4.00,ADI
5,2017,$2.29,ADI
6,2016,$2.76,ADI
7,2015,$2.20,ADI
8,2014,$1.98,ADI
9,2013,$2.14,ADI
10,2012,$2.13,ADI
11,2011,$2.81,ADI
12,2010,$2.33,ADI
13,2009,$0.85,ADI
0,2021,$5.16,ANSS
1,2020,$4.97,ANSS
2,2019,$5.25,ANSS
3,2018,$4.88,ANSS
4,2017,$2.98,ANSS
5,2016,$2.99,ANSS
6,2015,$2.76,ANSS
7,2014,$2.70,ANSS
8,2013,$2.58,ANSS
9,2012,$2.14,ANSS
10,2011,$1.91,ANSS
11,2010,$1.64,ANSS
12,2009,$1.27,ANSS
0,2021,$5.55,AON
1,2020,$8.45,AON
2,2019,$6.37,AON
3,2018,$4.59,AON
4,2017,$4.70,AON
5,2016,$5.16,AON
6,2015,$4.88,AON
7,2014,$4.66,AON
8,2013,$3.53,AON
9,2012,$2.99,AON
10,2011,$2.87,AON
11,2010,$2.37,AON
12,2009,$2.57,AON
0,2021,$2.59,APA
1,2020,$-12.86,APA
2,2019,$-9.43,APA
3,2018,$0.11,APA
4,2017,$3.41,APA
5,2016,$-3.71,APA
6,2015,$-27.40,APA
7,2014,$-21.76,APA
8,2013,$5.50,APA
9,2012,$4.92,APA
10,2011,$11.47,APA
11,2010,$8.46,APA
12,2009,$-0.87,APA
0,2022,$6.11,AAPL
1,2021,$5.61,AAPL
2,2020,$3.28,AAPL
3,2019,$2.97,AAPL
4,2018,$2.98,AAPL
5,2017,$2.30,AAPL
6,2016,$2.08,AAPL
7,2015,$2.31,AAPL
8,2014,$1.61,AAPL
9,2013,$1.42,AAPL
10,2012,$1.58,AAPL
11,2011,$0.99,AAPL
12,2010,$0.54,AAPL
13,2009,$0.32,AAPL
0,2022,$7.44,AMAT
1,2021,$6.40,AMAT
2,2020,$3.92,AMAT
3,2019,$2.86,AMAT
4,2018,$2.96,AMAT
5,2017,$3.25,AMAT
6,2016,$1.54,AMAT
7,2015,$1.12,AMAT
8,2014,$0.87,AMAT
9,2013,$0.21,AMAT
10,2012,$0.09,AMAT
11,2011,$1.45,AMAT
12,2010,$0.70,AMAT
13,2009,$-0.23,AMAT
0,2021,$1.94,APTV
1,2020,$6.66,APTV
2,2019,$3.85,APTV
3,2018,$4.02,APTV
4,2017,$5.06,APTV
5,2016,$4.59,APTV
6,2015,$5.06,APTV
7,2014,$4.48,APTV
8,2013,$3.89,APTV
9,2012,$3.33,APTV
10,2011,$2.72,APTV
11,2010,$0.92,APTV
12,2009,$13.58,APTV
0,2021,$5.23,ACGL
1,2020,$3.32,ACGL
2,2019,$3.87,ACGL
3,2018,$1.73,ACGL
4,2017,$1.36,ACGL
5,2016,$1.78,ACGL
6,2015,$1.36,ACGL
7,2014,$2.01,ACGL
8,2013,$1.69,ACGL
9,2012,$1.34,ACGL
10,2011,$0.99,ACGL
11,2010,$1.73,ACGL
12,2009,$1.53,ACGL
0,2021,$2.63,ANET
1,2020,$2.00,ANET
2,2019,$2.66,ANET
3,2018,$1.02,ANET
4,2017,$1.34,ANET
5,2016,$0.63,ANET
6,2015,$0.42,ANET
7,2014,$0.32,ANET
8,2013,$0.18,ANET
9,2012,$0.10,ANET
10,2011,$0.16,ANET
0,2021,$4.37,AJG
1,2020,$4.20,AJG
2,2019,$3.52,AJG
3,2018,$3.40,AJG
4,2017,$2.64,AJG
5,2016,$2.22,AJG
6,2015,$2.06,AJG
7,2014,$1.97,AJG
8,2013,$2.06,AJG
9,2012,$1.59,AJG
10,2011,$1.28,AJG
11,2010,$1.66,AJG
12,2009,$1.28,AJG
0,2021,$22.83,AIZ
1,2020,$6.99,AIZ
2,2019,$5.84,AIZ
3,2018,$3.98,AIZ
4,2017,$9.39,AIZ
5,2016,$9.13,AIZ
6,2015,$2.05,AIZ
7,2014,$6.44,AIZ
8,2013,$6.30,AIZ
9,2012,$5.67,AIZ
10,2011,$5.51,AIZ
11,2010,$2.50,AIZ
12,2009,$3.63,AIZ
0,2021,$2.76,T
1,2020,$-0.75,T
2,2019,$1.89,T
3,2018,$2.85,T
4,2017,$4.76,T
5,2016,$2.10,T
6,2015,$2.37,T
7,2014,$1.24,T
8,2013,$3.42,T
9,2012,$1.25,T
10,2011,$0.66,T
11,2010,$3.35,T
12,2009,$2.05,T
0,2022,$5.60,ATO
1,2021,$5.12,ATO
2,2020,$4.89,ATO
3,2019,$4.35,ATO
4,2018,$5.43,ATO
5,2017,$3.73,ATO
6,2016,$3.38,ATO
7,2015,$3.09,ATO
8,2014,$2.96,ATO
9,2013,$2.64,ATO
10,2012,$2.37,ATO
11,2011,$2.27,ATO
12,2010,$2.20,ATO
13,2009,$2.07,ATO
0,2022,$2.24,ADSK
1,2021,$5.44,ADSK
2,2020,$0.96,ADSK
3,2019,$-0.37,ADSK
4,2018,$-2.58,ADSK
5,2017,$-2.61,ADSK
6,2016,$-1.46,ADSK
7,2015,$0.35,ADSK
8,2014,$1.00,ADSK
9,2013,$1.07,ADSK
10,2012,$1.22,ADSK
11,2011,$0.90,ADSK
12,2010,$0.25,ADSK
13,2009,$0.80,ADSK
0,2022,$117.19,AZO
1,2021,$95.19,AZO
2,2020,$71.93,AZO
3,2019,$63.43,AZO
4,2018,$48.77,AZO
5,2017,$44.07,AZO
6,2016,$40.70,AZO
7,2015,$36.03,AZO
8,2014,$31.57,AZO
9,2013,$27.79,AZO
10,2012,$23.48,AZO
11,2011,$19.47,AZO
12,2010,$14.97,AZO
13,2009,$11.73,AZO
0,2021,$7.19,AVB
1,2020,$5.89,AVB
2,2019,$5.63,AVB
3,2018,$7.05,AVB
4,2017,$6.35,AVB
5,2016,$7.52,AVB
6,2015,$5.51,AVB
7,2014,$5.21,AVB
8,2013,$2.78,AVB
9,2012,$4.32,AVB
10,2011,$4.87,AVB
11,2010,$2.07,AVB
12,2009,$1.93,AVB
0,2021,$8.83,AVY
1,2020,$6.61,AVY
2,2019,$3.57,AVY
3,2018,$5.28,AVY
4,2017,$3.13,AVY
5,2016,$3.54,AVY
6,2015,$2.95,AVY
7,2014,$2.56,AVY
8,2013,$2.13,AVY
9,2012,$2.08,AVY
10,2011,$1.78,AVY
11,2010,$2.97,AVY
12,2009,$-7.21,AVY
0,2021,$-0.27,BKR
1,2020,$-14.73,BKR
2,2019,$0.23,BKR
3,2018,$0.45,BKR
4,2017,$-0.24,BKR
5,2016,$0.00,BKR
6,2015,$0.00,BKR
7,2014,$3.92,BKR
8,2013,$2.47,BKR
9,2012,$2.97,BKR
10,2011,$3.97,BKR
11,2010,$2.06,BKR
12,2009,$1.36,BKR
0,2021,$2.65,BALL
1,2020,$1.76,BALL
2,2019,$1.66,BALL
3,2018,$1.29,BALL
4,2017,$1.05,BALL
5,2016,$0.81,BALL
6,2015,$1.00,BALL
7,2014,$1.65,BALL
8,2013,$1.37,BALL
9,2012,$1.25,BALL
10,2011,$1.32,BALL
11,2010,$1.28,BALL
12,2009,$1.02,BALL
0,2021,$3.57,BAC
1,2020,$1.87,BAC
2,2019,$2.75,BAC
3,2018,$2.61,BAC
4,2017,$1.56,BAC
5,2016,$1.49,BAC
6,2015,$1.31,BAC
7,2014,$0.42,BAC
8,2013,$0.90,BAC
9,2012,$0.25,BAC
10,2011,$0.01,BAC
11,2010,$-0.37,BAC
12,2009,$-0.29,BAC
0,2022,$4.88,BBWI
1,2021,$3.00,BBWI
2,2020,$-1.32,BBWI
3,2019,$2.31,BBWI
4,2018,$3.42,BBWI
5,2017,$3.98,BBWI
6,2016,$4.22,BBWI
7,2015,$3.50,BBWI
8,2014,$3.05,BBWI
9,2013,$2.54,BBWI
10,2012,$2.70,BBWI
11,2011,$2.42,BBWI
12,2010,$1.37,BBWI
13,2009,$0.65,BBWI
0,2021,$2.53,BAX
1,2020,$2.13,BAX
2,2019,$1.93,BAX
3,2018,$2.83,BAX
4,2017,$1.08,BAX
5,2016,$9.01,BAX
6,2015,$1.76,BAX
7,2014,$4.56,BAX
8,2013,$3.66,BAX
9,2012,$4.18,BAX
10,2011,$3.88,BAX
11,2010,$2.39,BAX
12,2009,$3.59,BAX
0,2021,$3.65,WRB
1,2020,$1.87,WRB
2,2019,$2.35,WRB
3,2018,$2.22,WRB
4,2017,$1.89,WRB
5,2016,$2.08,WRB
6,2015,$1.72,WRB
7,2014,$2.16,WRB
8,2013,$1.58,WRB
9,2012,$1.58,WRB
10,2011,$1.20,WRB
11,2010,$1.28,WRB
12,2009,$0.83,WRB
0,2021,$39.61,BRK.B
1,2020,$17.77,BRK.B
2,2019,$33.20,BRK.B
3,2018,$1.63,BRK.B
4,2017,$18.21,BRK.B
5,2016,$9.76,BRK.B
6,2015,$9.76,BRK.B
7,2014,$8.06,BRK.B
8,2013,$7.89,BRK.B
9,2012,$5.98,BRK.B
10,2011,$4.14,BRK.B
11,2010,$5.28,BRK.B
12,2009,$3.46,BRK.B
0,2022,$9.84,BBY
1,2021,$6.84,BBY
2,2020,$5.75,BBY
3,2019,$5.20,BBY
4,2018,$3.26,BBY
5,2017,$3.81,BBY
6,2016,$2.56,BBY
7,2015,$3.49,BBY
8,2014,$1.53,BBY
9,2013,$-1.30,BBY
10,2012,$-3.27,BBY
11,2011,$3.08,BBY
12,2010,$3.10,BBY
13,2009,$2.39,BBY
0,2021,$140.56,BIO
1,2020,$126.20,BIO
2,2019,$58.27,BIO
3,2018,$12.10,BIO
4,2017,$4.07,BIO
5,2016,$0.88,BIO
6,2015,$3.71,BIO
7,2014,$3.05,BIO
8,2013,$2.69,BIO
9,2012,$5.78,BIO
10,2011,$6.29,BIO
11,2010,$6.59,BIO
12,2009,$5.20,BIO
0,2022,$6.63,TECH
1,2021,$3.47,TECH
2,2020,$5.82,TECH
3,2019,$2.47,TECH
4,2018,$3.31,TECH
5,2017,$2.03,TECH
6,2016,$2.80,TECH
7,2015,$2.89,TECH
8,2014,$3.00,TECH
9,2013,$3.05,TECH
10,2012,$3.04,TECH
11,2011,$3.02,TECH
12,2010,$2.94,TECH
13,2009,$2.78,TECH
0,2021,$10.40,BIIB
1,2020,$24.80,BIIB
2,2019,$31.42,BIIB
3,2018,$21.58,BIIB
4,2017,$11.92,BIIB
5,2016,$16.93,BIIB
6,2015,$15.34,BIIB
7,2014,$12.37,BIIB
8,2013,$7.81,BIIB
9,2012,$5.76,BIIB
10,2011,$5.04,BIIB
11,2010,$3.94,BIIB
12,2009,$3.35,BIIB
0,2021,$38.22,BLK
1,2020,$31.85,BLK
2,2019,$28.43,BLK
3,2018,$26.58,BLK
4,2017,$30.12,BLK
5,2016,$19.02,BLK
6,2015,$19.79,BLK
7,2014,$19.25,BLK
8,2013,$16.87,BLK
9,2012,$13.79,BLK
10,2011,$12.37,BLK
11,2010,$10.55,BLK
12,2009,$6.11,BLK
0,2021,$-7.15,BA
1,2020,$-20.88,BA
2,2019,$-1.12,BA
3,2018,$17.85,BA
4,2017,$13.85,BA
5,2016,$7.83,BA
6,2015,$7.44,BA
7,2014,$7.38,BA
8,2013,$5.96,BA
9,2012,$5.11,BA
10,2011,$5.34,BA
11,2010,$4.45,BA
12,2009,$1.84,BA
0,2021,$28.17,BKNG
1,2020,$1.44,BKNG
2,2019,$111.82,BKNG
3,2018,$83.26,BKNG
4,2017,$46.86,BKNG
5,2016,$42.65,BKNG
6,2015,$49.45,BKNG
7,2014,$45.67,BKNG
8,2013,$36.11,BKNG
9,2012,$27.66,BKNG
10,2011,$20.63,BKNG
11,2010,$10.35,BKNG
12,2009,$9.88,BKNG
0,2021,$2.24,BWA
1,2020,$2.34,BWA
2,2019,$3.61,BWA
3,2018,$4.44,BWA
4,2017,$2.08,BWA
5,2016,$2.76,BWA
6,2015,$2.56,BWA
7,2014,$2.86,BWA
8,2013,$2.70,BWA
9,2012,$2.09,BWA
10,2011,$2.22,BWA
11,2010,$1.54,BWA
12,2009,$0.12,BWA
0,2021,$3.17,BXP
1,2020,$5.54,BXP
2,2019,$3.30,BXP
3,2018,$3.70,BXP
4,2017,$2.93,BXP
5,2016,$3.26,BXP
6,2015,$3.72,BXP
7,2014,$2.83,BXP
8,2013,$4.86,BXP
9,2012,$1.92,BXP
10,2011,$1.86,BXP
11,2010,$1.14,BXP
12,2009,$1.76,BXP
0,2021,$0.69,BSX
1,2020,$-0.08,BSX
2,2019,$3.33,BSX
3,2018,$1.19,BSX
4,2017,$0.08,BSX
5,2016,$0.25,BSX
6,2015,$-0.18,BSX
7,2014,$-0.09,BSX
8,2013,$-0.09,BSX
9,2012,$-2.89,BSX
10,2011,$0.29,BSX
11,2010,$-0.70,BSX
12,2009,$-0.68,BSX
0,2021,$3.12,BMY
1,2020,$-3.99,BMY
2,2019,$2.01,BMY
3,2018,$3.01,BMY
4,2017,$0.61,BMY
5,2016,$2.65,BMY
6,2015,$0.93,BMY
7,2014,$1.20,BMY
8,2013,$1.54,BMY
9,2012,$1.16,BMY
10,2011,$2.16,BMY
11,2010,$1.79,BMY
12,2009,$5.34,BMY
0,2022,$26.53,AVGO
1,2021,$15.00,AVGO
2,2020,$6.33,AVGO
3,2019,$6.43,AVGO
4,2018,$28.44,AVGO
5,2017,$4.02,AVGO
6,2016,$-4.86,AVGO
7,2015,$4.85,AVGO
8,2014,$0.99,AVGO
9,2013,$2.19,AVGO
10,2012,$2.25,AVGO
11,2011,$2.19,AVGO
12,2010,$1.69,AVGO
13,2009,$-0.20,AVGO
0,2021,$2.07,BRO
1,2020,$1.69,BRO
2,2019,$1.40,BRO
3,2018,$1.22,BRO
4,2017,$1.40,BRO
5,2016,$0.91,BRO
6,2015,$0.85,BRO
7,2014,$0.71,BRO
8,2013,$0.74,BRO
9,2012,$0.63,BRO
10,2011,$0.57,BRO
11,2010,$0.56,BRO
12,2009,$0.54,BRO
0,2022,$1.74,BF.B
1,2021,$1.88,BF.B
2,2020,$1.72,BF.B
3,2019,$1.73,BF.B
4,2018,$1.48,BF.B
5,2017,$1.37,BF.B
6,2016,$2.09,BF.B
7,2015,$1.28,BF.B
8,2014,$1.22,BF.B
9,2013,$1.10,BF.B
10,2012,$0.95,BF.B
11,2011,$1.04,BF.B
12,2010,$0.81,BF.B
13,2009,$0.77,BF.B
0,2021,$6.31,CHRW
1,2020,$3.72,CHRW
2,2019,$4.19,CHRW
3,2018,$4.73,CHRW
4,2017,$3.57,CHRW
5,2016,$3.59,CHRW
6,2015,$3.51,CHRW
7,2014,$3.05,CHRW
8,2013,$2.65,CHRW
9,2012,$3.67,CHRW
10,2011,$2.62,CHRW
11,2010,$2.33,CHRW
12,2009,$2.13,CHRW
0,2021,$2.50,CDNS
1,2020,$2.11,CDNS
2,2019,$3.53,CDNS
3,2018,$1.23,CDNS
4,2017,$0.73,CDNS
5,2016,$0.70,CDNS
6,2015,$0.81,CDNS
7,2014,$0.52,CDNS
8,2013,$0.56,CDNS
9,2012,$1.57,CDNS
10,2011,$0.27,CDNS
11,2010,$0.48,CDNS
12,2009,$-0.58,CDNS
0,2021,$-4.83,CZR
1,2020,$-13.50,CZR
2,2019,$1.03,CZR
3,2018,$1.22,CZR
4,2017,$1.08,CZR
5,2016,$0.51,CZR
6,2015,$2.43,CZR
7,2014,$-0.48,CZR
8,2013,$0.81,CZR
9,2012,$-0.04,CZR
10,2011,$0.00,CZR
0,2021,$2.96,CPT
1,2020,$1.24,CPT
2,2019,$2.22,CPT
3,2018,$1.63,CPT
4,2017,$2.13,CPT
5,2016,$9.05,CPT
6,2015,$2.76,CPT
7,2014,$3.27,CPT
8,2013,$3.78,CPT
9,2012,$3.30,CPT
10,2011,$0.66,CPT
11,2010,$0.33,CPT
12,2009,$-0.80,CPT
0,2022,$2.51,CPB
1,2021,$3.29,CPB
2,2020,$5.36,CPB
3,2019,$0.70,CPB
4,2018,$0.86,CPB
5,2017,$2.89,CPB
6,2016,$1.81,CPB
7,2015,$2.13,CPB
8,2014,$2.74,CPB
9,2013,$1.44,CPB
10,2012,$2.41,CPB
11,2011,$2.42,CPB
12,2010,$2.42,CPB
13,2009,$2.05,CPB
0,2021,$26.94,COF
1,2020,$5.18,COF
2,2019,$11.05,COF
3,2018,$11.82,COF
4,2017,$3.49,COF
5,2016,$6.89,COF
6,2015,$7.07,COF
7,2014,$7.59,COF
8,2013,$6.89,COF
9,2012,$6.11,COF
10,2011,$6.80,COF
11,2010,$6.01,COF
12,2009,$0.74,COF
0,2022,$-3.35,CAH
1,2021,$2.08,CAH
2,2020,$-12.61,CAH
3,2019,$4.53,CAH
4,2018,$0.81,CAH
5,2017,$4.03,CAH
6,2016,$4.32,CAH
7,2015,$3.62,CAH
8,2014,$3.38,CAH
9,2013,$0.97,CAH
10,2012,$3.06,CAH
11,2011,$2.72,CAH
12,2010,$1.77,CAH
13,2009,$3.18,CAH
0,2022,$6.97,KMX
1,2021,$4.52,KMX
2,2020,$5.33,KMX
3,2019,$4.79,KMX
4,2018,$3.60,KMX
5,2017,$3.26,KMX
6,2016,$3.03,KMX
7,2015,$2.73,KMX
8,2014,$2.16,KMX
9,2013,$1.87,KMX
10,2012,$1.79,KMX
11,2011,$1.65,KMX
12,2010,$1.24,KMX
13,2009,$0.27,KMX
0,2021,$-8.46,CCL
1,2020,$-13.20,CCL
2,2019,$4.32,CCL
3,2018,$4.44,CCL
4,2017,$3.59,CCL
5,2016,$3.72,CCL
6,2015,$2.26,CCL
7,2014,$1.56,CCL
8,2013,$1.36,CCL
9,2012,$1.67,CCL
10,2011,$2.42,CCL
11,2010,$2.47,CCL
12,2009,$2.24,CCL
0,2021,$1.87,CARR
1,2020,$2.25,CARR
2,2019,$2.44,CARR
3,2018,$3.16,CARR
4,2017,$0.00,CARR
0,2022,$2.84,CTLT
1,2021,$3.11,CTLT
2,2020,$1.14,CTLT
3,2019,$0.90,CTLT
4,2018,$0.63,CTLT
5,2017,$0.87,CTLT
6,2016,$0.89,CTLT
7,2015,$1.75,CTLT
8,2014,$0.21,CTLT
9,2013,$-0.66,CTLT
10,2012,$-0.32,CTLT
11,2011,$-0.72,CTLT
0,2021,$11.83,CAT
1,2020,$5.46,CAT
2,2019,$10.74,CAT
3,2018,$10.26,CAT
4,2017,$1.26,CAT
5,2016,$-0.11,CAT
6,2015,$4.18,CAT
7,2014,$3.90,CAT
8,2013,$5.75,CAT
9,2012,$8.48,CAT
10,2011,$7.40,CAT
11,2010,$4.15,CAT
12,2009,$1.43,CAT
0,2021,$4.92,CBOE
1,2020,$4.27,CBOE
2,2019,$3.34,CBOE
3,2018,$3.76,CBOE
4,2017,$3.69,CBOE
5,2016,$2.27,CBOE
6,2015,$2.46,CBOE
7,2014,$2.21,CBOE
8,2013,$1.99,CBOE
9,2012,$1.78,CBOE
10,2011,$1.52,CBOE
11,2010,$1.03,CBOE
12,2009,$1.17,CBOE
0,2021,$5.41,CBRE
1,2020,$2.22,CBRE
2,2019,$3.77,CBRE
3,2018,$3.10,CBRE
4,2017,$2.05,CBRE
5,2016,$1.69,CBRE
6,2015,$1.63,CBRE
7,2014,$1.45,CBRE
8,2013,$0.95,CBRE
9,2012,$0.97,CBRE
10,2011,$0.74,CBRE
11,2010,$0.63,CBRE
12,2009,$0.12,CBRE
0,2021,$7.04,CDW
1,2020,$5.45,CDW
2,2019,$4.99,CDW
3,2018,$4.19,CDW
4,2017,$3.31,CDW
5,2016,$2.56,CDW
6,2015,$2.35,CDW
7,2014,$1.42,CDW
8,2013,$0.84,CDW
9,2012,$0.82,CDW
10,2011,$0.12,CDW
11,2010,$-0.20,CDW
0,2021,$16.86,CE
1,2020,$16.75,CE
2,2019,$6.84,CE
3,2018,$8.91,CE
4,2017,$6.09,CE
5,2016,$6.18,CE
6,2015,$2.00,CE
7,2014,$4.00,CE
